,life form,habit,clonality,perennial organ,indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen arrangement,gynoecium arrangement,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersal mode,dispersion axillary,seed colour
0,hemicryptophyte,free-floating plant,clones formed by suckering from roots,stem,soft hair,soft hair,ye,simple,sessile,alternate,striate,aristate,hastate,sinuate,head,unisexual,tepal,6-merous,,cuspidate,tan,,purplish,,gynoandromonoecious,,,selfed,pod,constricted,,retuse,glaucous,fox,filament,grey
1,phanerophyte,procumbent,root tuber below ground,rhizomatous,stiff hair,subglabrous,,pinnately,peltate,decumbent,retuse,attenuate,simple,branch,capitula,,,5-merous,,branch,pale grey violet,,pinkish,,trioecious,,,wind,mericarp,hollowed,,orbicular,cream,mammal,bristlelike,tan
2,helophyte,"submerged, attached to the substrate",adventitious bud on roots,stipe,coarse,stiff hair,,digitately,palmately,abaxial,undivided,mucronate,fleshy,spinose,paniculate,,,4-merous,,linear,pale pink,,blue,,,,,none,,dry,,truncate,chestnut,hare,filamentous,amber
3,geophyte,stem ascending to prostrate,rhizome shortly creeping,tap root,spine,no,,,convolute,whorled,branch,not applicable,attenuate,acuminate,cluster,,,,,triangular,red brown,,yellowish,,,,,,,inflated,,lanceolate,grey,rabbit,hair,
4,hydrophyte,erect leafy,cgo of leaf-origin: buds on leaves (gemmipary),taproot,glandular hair,hairy,,,sheathing,tight,attenuate,obtusely,,toothed,pistillate,,,,,point,pale green,,brown,,,,,,,waxy,,acuminate,lemon,dormouse,pappi,
5,chamaephyte,stem prostrate,budding plant,taprooted,stinging hair,glabrous,,,scalelike,alternating,curving,lobed,,cuneate,solitary flower,,,,,lanceolate,pale red brown,,pink,,,,,,,spongy,,fusiform,,standing fresh water,hook,
6,therophyte,mat,little or no vegetative spread,,prickle,glandular hair,,,,spirally,folded,triangular,,lobed and toothed,clustered,,,,,subulate,dark brown,,red,,,,,,,,,subglobose,,man,awnles,
7,,"floating leaves, attached to the substrate",rhizomatous,,furrowed,stinging hair,,,,basal,pinnate,convex,,scabrous,staminate,,,,,acuminate,chestnut brown,,bluish,,,,,,,,,obtuse,,goat,pappu,
8,,lianas and climber,tussock forming graminoid,,thorn,prickle,,,,divergent,triangular,curved,,not applicable,glomerule,,,,,cuneate,yellow green,,white,,,,,,,,,obovate,,mountain hare,hairles,
9,,"emergent, attached to the substrate",plant fragment of stem origin,,dense hair,dense hair,,,,cauline,point,concave,,recurved,,,,,,leaf-like,crimson,,purple,,,,,,,,,emarginate,,marten,,
10,,,spacer above and renewal buds below soil surface: offspring tubers at distal end of above-ground stems,,grooved,,,,,distichous,obconical,straight,,elongate,,,,,,obtuse,purple brown,,black,,,,,,,,,recurved,,commerce,,
11,,,tuberous or bulbous slowly cloning by offsets,,,,,,,adjacent,cut,,,branched,,,,,,obovate,cream,,whitish,,,,,,,,,spherical,,hay cutting,,
12,,,stem tuber,,,,,,,crowded,absent,,,ovate,,,,,,recurved,dark chestnut brown,,lilac,,,,,,,,,tapering,,clothes and footwear,,
13,,,seed,,,,,,,erect,decurrent,,,flat,,,,,,broad,chestnut,,crimson,,,,,,,,,ovate,,dog,,
14,,,bud,,,,,,,horizontal,emarginate,,,ciliate,,,,,,spherical,grey,,violet,,,,,,,,,blunt,,pet,,
15,,,plantlets (pseudovivipary),,,,,,,proximal,recurved,,,laciniate,,,,,,elongate,deep purple,,green,,,,,,,,,oblong,,seed contamination,,
16,,,epigeogeneous stem,,,,,,,sparse,arched,,,straight,,,,,,branched,pale violet,,cream,,,,,,,,,flat,,mouse,,
17,,,bulblet,,,,,,,distal,broad,,,spiny,,,,,,ovate,pale mauve,,greenish,,,,,,,,,laterally compressed,,domestic animal,,
18,,,seeded,,,,,,,punctate,branched,,,lobed,,,,,,flat,pale lilac,,yellow,,,,,,,,,rugose,,beech marten,,
19,,,rooting horizontal stem at or above soil surface,,,,,,,prostrate,serrate,,,incised,,,,,,oblong,yellow brown,,rose,,,,,,,,,slender,,badger,,
20,,,shortly creeping stolon in illuminated medium,,,,,,,decussate,tapering,,,elliptic,,,,,,slender,dark purple brown,,orange,,,,,,,,,biconvex,,earthworm,,
21,,,rhizome far creeping,,,,,,,parallel,keeled,,,raised,,,,,,convex,orange brown,,,,,,,,,,,flattened,,pacarana,,
22,,,creeping,,,,,,,angle,conical,,,,,,,,,broader,pale brown,,,,,,,,,,,broader,,snail,,
23,,,turion,,,,,,,spotted,flat,,,,,,,,,drooping,deep pink,,,,,,,,,,,ridge,,sheep-dummy,,
24,,,extensively creeping and rooting at nodes,,,,,,,lateral,slender,,,,,,,,,dentate,pale yellow,,,,,,,,,,,straight,,shaken fresh water,,
25,,,hypogeogeneous stem,,,,,,,terminal,blunt,,,,,,,,,elongated,,,,,,,,,,,,pyriform,,donkey,,
26,,,fragmenting as part of normal growth,,,,,,,distributed,compound,,,,,,,,,straight,,,,,,,,,,,,tapered,,farm machinery,,
27,,,"detaching ramet above ground, often axillary",,,,,,,procumbent,convolute,,,,,,,,,oblanceolate,,,,,,,,,,,,revolute,,chamois,,
28,,,shortly creeping and rooting at nodes,,,,,,,adaxial,broadest,,,,,,,,,pointed,,,,,,,,,,,,undulate,,roe,,
29,,,far creeping stolon in illuminated medium,,,,,,,spot,sharp,,,,,,,,,ligulate,,,,,,,,,,,,cylindrical,,ant,,
30,,,irregularly fragmenting (mainly water plants),,,,,,,opposite,convex,,,,,,,,,lobed,,,,,,,,,,,,subcylindrical,,deer,,
31,,,,,,,,,,loose,dentate,,,,,,,,,elongating,,,,,,,,,,,,clavate,,erosion material,,
32,,,,,,,,,,oblique,flattened,,,,,,,,,cylindrical,,,,,,,,,,,,,,squirrel,,
33,,,,,,,,,,prominent,broader,,,,,,,,,concave,,,,,,,,,,,,,,trichoptera larva,,
34,,,,,,,,,,,curved,,,,,,,,,elliptic,,,,,,,,,,,,,,bird,,
35,,,,,,,,,,,splitting,,,,,,,,,unbranched,,,,,,,,,,,,,,sheep,,
36,,,,,,,,,,,cutting,,,,,,,,,,,,,,,,,,,,,,,fish,,
37,,,,,,,,,,,keel,,,,,,,,,,,,,,,,,,,,,,,car or other vehicle,,
38,,,,,,,,,,,drooping,,,,,,,,,,,,,,,,,,,,,,,cattle,,
39,,,,,,,,,,,ridge,,,,,,,,,,,,,,,,,,,,,,,horse,,
40,,,,,,,,,,,straight,,,,,,,,,,,,,,,,,,,,,,,beetle larva,,
41,,,,,,,,,,,multifid,,,,,,,,,,,,,,,,,,,,,,,pig,,
42,,,,,,,,,,,pointed,,,,,,,,,,,,,,,,,,,,,,,mowing,,
43,,,,,,,,,,,tapered,,,,,,,,,,,,,,,,,,,,,,,hay making machinery,,
44,,,,,,,,,,,revolute,,,,,,,,,,,,,,,,,,,,,,,water,,
45,,,,,,,,,,,spiny,,,,,,,,,,,,,,,,,,,,,,,wild boar,,
46,,,,,,,,,,,undulate,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,trilobed,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,lobed,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,pointing,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,tendril,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,curled,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,concave,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,involute,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,unbranched,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,raised,,,,,,,,,,,,,,,,,,,,,,,,,
