Species name,family,Major group
Hedychium,ZINGIBERACEAE,Angiosperm
Alpinia,ZINGIBERACEAE,Angiosperm
Elettariopsis,ZINGIBERACEAE,Angiosperm
Pleuranthodium,ZINGIBERACEAE,Angiosperm
Curcuma,ZINGIBERACEAE,Angiosperm
Zingiber,ZINGIBERACEAE,Angiosperm
Musa,MUSACEAE,Angiosperm
Etlingera,ZINGIBERACEAE,Angiosperm
Kaempferia,ZINGIBERACEAE,Angiosperm
Amomum,ZINGIBERACEAE,Angiosperm
Boesenbergia,ZINGIBERACEAE,Angiosperm
Camptandra,ZINGIBERACEAE,Angiosperm
Geocharis,ZINGIBERACEAE,Angiosperm
Geostachys,ZINGIBERACEAE,Angiosperm
Globba,ZINGIBERACEAE,Angiosperm
Haplochorema,ZINGIBERACEAE,Angiosperm
Hornstedtia,ZINGIBERACEAE,Angiosperm
Plagiostachys,ZINGIBERACEAE,Angiosperm
Scaphochlamys,ZINGIBERACEAE,Angiosperm
Meistera,ZINGIBERACEAE,Angiosperm
Wurfbainia,ZINGIBERACEAE,Angiosperm
